,cases,deaths,countryterritoryCode
185,14069.0,66.0,AUT
186,14880.0,54.0,AUT
187,15024.0,59.0,AUT
188,16467.0,51.0,AUT
189,10990.0,48.0,AUT
190,11198.0,48.0,AUT
191,11441.0,60.0,AUT
192,12653.0,59.0,AUT
193,10590.0,63.0,AUT
194,13225.0,31.0,AUT
195,11975.0,39.0,AUT
196,7758.0,35.0,AUT
197,8023.0,29.0,AUT
198,8120.0,32.0,AUT
199,9707.0,35.0,AUT
200,9786.0,29.0,AUT
201,8972.0,35.0,AUT
202,6580.0,24.0,AUT
203,5290.0,23.0,AUT
204,4797.0,18.0,AUT
205,5635.0,27.0,AUT
206,5980.0,14.0,AUT
207,5938.0,17.0,AUT
208,4311.0,29.0,AUT
209,4487.0,25.0,AUT
210,3446.0,12.0,AUT
211,2797.0,23.0,AUT
212,3532.0,17.0,AUT
213,3710.0,17.0,AUT
214,3487.0,16.0,AUT
215,3617.0,14.0,AUT
216,3981.0,13.0,AUT
217,2727.0,11.0,AUT
218,1996.0,20.0,AUT
219,2149.0,21.0,AUT
220,2382.0,12.0,AUT
221,2393.0,11.0,AUT
222,2115.0,11.0,AUT
223,2721.0,19.0,AUT
224,1597.0,12.0,AUT
225,1298.0,10.0,AUT
226,1585.0,12.0,AUT
227,1876.0,8.0,AUT
228,1855.0,11.0,AUT
229,2038.0,7.0,AUT
230,2679.0,16.0,AUT
231,1459.0,8.0,AUT
232,1372.0,11.0,AUT
233,1558.0,15.0,AUT
234,1808.0,9.0,AUT
235,1739.0,9.0,AUT
236,1925.0,8.0,AUT
237,2613.0,17.0,AUT
238,1590.0,8.0,AUT
239,1385.0,11.0,AUT
240,1386.0,14.0,AUT
241,1829.0,9.0,AUT
242,1817.0,10.0,AUT
243,1839.0,11.0,AUT
244,2108.0,9.0,AUT
245,1379.0,12.0,AUT
246,1339.0,19.0,AUT
247,1429.0,7.0,AUT
248,2027.0,11.0,AUT
249,2212.0,11.0,AUT
250,2319.0,12.0,AUT
251,2600.0,15.0,AUT
252,1847.0,9.0,AUT
253,1390.0,3.0,AUT
254,1838.0,7.0,AUT
255,2246.0,11.0,AUT
256,2339.0,10.0,AUT
257,2169.0,8.0,AUT
258,2300.0,8.0,AUT
259,1801.0,4.0,AUT
260,1391.0,9.0,AUT
261,1576.0,9.0,AUT
262,1932.0,6.0,AUT
263,1692.0,8.0,AUT
264,1557.0,4.0,AUT
265,1851.0,4.0,AUT
266,1281.0,3.0,AUT
267,1082.0,3.0,AUT
268,1344.0,9.0,AUT
269,1378.0,6.0,AUT
270,1404.0,3.0,AUT
271,1450.0,6.0,AUT
272,1621.0,2.0,AUT
273,1154.0,6.0,AUT
274,983.0,2.0,AUT
275,1106.0,3.0,AUT
276,1287.0,2.0,AUT
277,1311.0,3.0,AUT
278,1293.0,2.0,AUT
279,1213.0,0.0,AUT
280,876.0,0.0,AUT
281,797.0,1.0,AUT
282,832.0,5.0,AUT
283,952.0,3.0,AUT
284,968.0,2.0,AUT
285,859.0,0.0,AUT
