country_code,cases,deaths,IFR
AUS,28504.0,909.0,0.031890261015997755
FJI,49.0,2.0,0.04081632653061224
GUM,7327.0,123.0,0.016787225330967655
MHL,4.0,0.0,0.0
MNP,122.0,2.0,0.01639344262295082
NCL,40.0,0.0,0.0
NZL,1825.0,25.0,0.0136986301369863
PNG,799.0,9.0,0.011264080100125156
PYF,16926.0,114.0,0.00673520028358738
SLB,17.0,0.0,0.0
VUT,1.0,0.0,0.0
WLF,4.0,0.0,0.0
WSM,1.0,0.0,0.0
