code,cases,deaths,IFR
AF,2832749.0,67280.0,0.02375078060216419
AM,37087061.0,937322.0,0.025273558344243024
AS,18099566.0,311534.0,0.017212235917701012
EU,27512281.0,620510.0,0.022553927825904367
OC,55619.0,1184.0,0.021287689458638234
